Problem ID,Ohio State Standard,Problem Text,Correct Answer,Distractor 1,Distractor 2,Distractor 3,Step-by-Step Solution
ALG1-1.3-01,N.Q.1,"A car travels at $60$ miles per hour. What is this speed in feet per second? (Use: $1 \text{ mile} = 5,280 \text{ feet}$ and $1 \text{ hour} = 3,600 \text{ seconds}$)",$88 \text{ feet per second}$,$0.011 \text{ feet per second}$,"$316,800 \text{ feet per second}$",$88.00000000 \text{ feet per second}$,"Step 1: Start with $60$ miles per hour and set up dimensional analysis to convert to feet per second. Step 2: Use conversion factors: $\frac{60 \text{ miles}}{1 \text{ hour}} \cdot \frac{5,280 \text{ feet}}{1 \text{ mile}} \cdot \frac{1 \text{ hour}}{3,600 \text{ seconds}}$. Step 3: Cancel units: miles cancel with miles, hours cancel with hours, leaving feet per second. Step 4: Calculate: $\frac{60 \cdot 5,280}{3,600} = \frac{316,800}{3,600} = 88 \text{ feet per second}$. Distractor 1 misconception: Inverted Conversion Factor—using $\frac{1 \text{ mile}}{5,280 \text{ feet}}$ instead of $\frac{5,280 \text{ feet}}{1 \text{ mile}}$: $60 \cdot \frac{1}{5,280} \cdot \frac{1}{3,600} \approx 0.011$. Distractor 2 misconception: Mismatched Units—multiplying all numbers without proper unit conversion: $60 \cdot 5,280 = 316,800$. Distractor 3 misconception: Impractical Scale/Accuracy—providing unnecessary precision for a practical speed measurement."
ALG1-1.3-02,N.Q.2,A scientist needs to measure the mass of a single grain of rice for a research study. Which unit would be most appropriate for this measurement?,milligrams (mg),kilograms (kg),pounds (lb),tons,"Step 1: Consider the physical size and mass of a single grain of rice. Step 2: A grain of rice is very small and lightweight, typically weighing less than $1 \text{ gram}$. Step 3: Evaluate unit appropriateness: kilograms would give a decimal like $0.000025 \text{ kg}$, pounds would be even smaller, and tons would be impractical. Step 4: Milligrams provide a reasonable whole number (approximately $20-25 \text{ mg}$ per grain) that is appropriate for scientific measurement and reporting. For descriptive modeling of small biological specimens, milligrams represent the most practical unit choice. Distractor 1 misconception: Impractical Scale/Accuracy—choosing kilograms, which would require scientific notation or many decimal places. Distractor 2 misconception: Impractical Scale/Accuracy—choosing pounds, which is not commonly used in scientific contexts and would require very small decimal values. Distractor 3 misconception: Impractical Scale/Accuracy—choosing tons, which is completely inappropriate for measuring tiny objects like rice grains."
ALG1-1.3-03,N.Q.1,"A recipe calls for $2.5$ cups of flour. If $1 \text{ cup} = 240 \text{ milliliters}$and $1 \text{ liter} = 1,000 \text{ milliliters}$, how many liters of flour does the recipe require?",$0.6 \text{ liters}$,"$6,000 \text{ liters}$",$600 \text{ milliliters}$,$0.600000000 \text{ liters}$,"Step 1: Start with $2.5$ cups and convert to liters using dimensional analysis. Step 2: Set up conversion factors: $2.5 \text{ cups} \cdot \frac{240 \text{ mL}}{1 \text{ cup}} \cdot \frac{1 \text{ L}}{1,000 \text{ mL}}$. Step 3: Cancel units: cups cancel with cups, mL cancel with mL, leaving liters. Step 4: Calculate: $\frac{2.5 \cdot 240}{1,000} = \frac{600}{1,000} = 0.6 \text{ liters}$. The units guide the solution by ensuring proper conversion through the multi-step process. Distractor 1 misconception: Inverted Conversion Factor—using $\frac{1,000 \text{ mL}}{1 \text{ L}}$ instead of $\frac{1 \text{ L}}{1,000 \text{ mL}}$: $2.5 \cdot 240 \cdot 1,000 = 6,000$. Distractor 2 misconception: Mismatched Units—stopping at milliliters without converting to liters: $2.5 \cdot 240 = 600 \text{ mL}$. Distractor 3 misconception: Impractical Scale/Accuracy—providing excessive decimal precision inappropriate for cooking measurements."
ALG1-1.3-04,N.Q.3,A student measures the length of their desk and gets $121.7384 \text{ cm}$on their calculator. What is the most appropriate way to report this measurement?,$122 \text{ cm}$,$121.7384 \text{ cm}$,$121.74 \text{ cm}$,$120 \text{ cm}$,"Step 1: Consider the limitations of typical measuring tools used by students (rulers, tape measures). Step 2: Most standard rulers measure to the nearest millimeter ($0.1 \text{ cm}$), and some to the nearest centimeter. Step 3: The original measurement of $121.7384 \text{ cm}$ implies precision to $0.0001 \text{ cm}$, which exceeds the capability of common measuring instruments. Step 4: Round to an appropriate level of accuracy: $122 \text{ cm}$represents realistic precision for a desk measurement using typical tools. When reporting quantities, the level of accuracy should reflect the limitations on measurement, not calculator precision. Distractor 1 misconception: Impractical Scale/Accuracy—reporting all calculator digits without considering measurement limitations. Distractor 2 misconception: Impractical Scale/Accuracy—using two decimal places, which still exceeds typical ruler precision. Distractor 3 misconception: Impractical Scale/Accuracy—rounding to the nearest $10 \text{ cm}$, which loses useful precision for this context."
ALG1-1.3-05,N.Q.1,"A water tank holds $450$gallons. If $1 \text{ gallon} = 3.785 \text{ liters}$ and the tank needs to be filled to $80\%$capacity, how many liters of water are needed?","$1,363 \text{ liters}$",$95 \text{ liters}$,$360 \text{ gallons}$,$1363.2000000 \text{ liters}$,"Step 1: Calculate $80\%$ of the tank capacity: $450 \text{ gallons} \cdot 0.80 = 360 \text{ gallons}$. Step 2: Convert gallons to liters using dimensional analysis: $360 \text{ gallons} \cdot \frac{3.785 \text{ liters}}{1 \text{ gallon}}$. Step 3: Cancel units: gallons cancel with gallons, leaving liters. Step 4: Calculate: $360 \cdot 3.785 = 1,362.6 \approx 1,363 \text{ liters}$. The units guide the multi-step solution and ensure proper interpretation of the final quantity. Distractor 1 misconception: Inverted Conversion Factor—using $\frac{1 \text{ gallon}}{3.785 \text{ liters}}$: $360 \div 3.785 \approx 95 \text{ liters}$. Distractor 2 misconception: Mismatched Units—calculating the correct volume but leaving it in gallons instead of converting to liters. Distractor 3 misconception: Impractical Scale/Accuracy—providing excessive decimal precision inappropriate for practical water tank measurements."
ALG1-1.4-01,N.Q.3,A student measures the length of a pencil using a ruler marked in millimeters and calculates the area of a rectangular piece of paper. The pencil measures $18.4 \text{ cm}$ and the paper dimensions are $21.6 \text{ cm}$ by $27.9 \text{ cm}$. What is the most appropriate way to report the calculated area?,$603 \text{ cm}^2$,$602.64 \text{ cm}^2$,$602.6400000 \text{ cm}^2$,$602 \text{ cm}^2$,"Step 1: Calculate the raw area: $21.6 \text{ cm} \cdot 27.9 \text{ cm} = 602.64 \text{ cm}^2$. Step 2: Identify the precision of the measurements. Both $21.6$ and $27.9$ have three significant figures. Step 3: Apply significant figures rules for multiplication: the result must be rounded to the same number of significant figures as the measurement with the fewest (3). Step 4: Round $602.64$ to three significant figures, which yields $603 \text{ cm}^2$. Distractor 1 misconception: Over-reporting Precision—reporting the exact calculator result without considering measurement limitations. Distractor 2 misconception: Over-reporting Precision—displaying all calculator decimal places. Distractor 3 misconception: Incorrect Rounding/Truncation—The student incorrectly rounded down (truncated) instead of rounding $602.64$ up to $603$."
ALG1-1.4-02,N.Q.3,"Four students measured the mass of the same object using a balance scale. Their results were: Student A: $15.2 \text{ g}$, Student B: $15.3 \text{ g}$, Student C: $15.1 \text{ g}$, Student D: $15.2 \text{ g}$. The actual mass of the object is $18.7 \text{ g}$. Which statement best describes these measurements?",The measurements are precise but not accurate,The measurements are accurate but not precise,The measurements are both accurate and precise,The measurements are neither accurate nor precise,"Step 1: Define accuracy: how close measurements are to the true or accepted value ($18.7 \text{ g}$). Step 2: Define precision: how close repeated measurements are to each other. Step 3: Analyze accuracy: The measurements ($15.1 \text{ g} - 15.3 \text{ g}$) are far from the true value ($18.7 \text{ g}$), so they are not accurate. Step 4: Analyze precision: The measurements are clustered closely together within a $0.2 \text{ g}$range, so they are precise. Step 5: Conclusion: The measurements show good precision (consistency) but poor accuracy (deviation from true value). Understanding the distinction between accuracy and precision is crucial for evaluating measurement quality. Distractor 1 misconception: Confusing Accuracy and Precision—incorrectly identifying close-together measurements as accurate. Distractor 2 misconception: Confusing Accuracy and Precision—claiming both qualities exist when accuracy is clearly lacking. Distractor 3 misconception: Confusing Accuracy and Precision—failing to recognize that consistent clustering indicates precision."
ALG1-1.4-03,N.Q.3,Which of the following measurements represents the most precise measurement?,$42.73 \text{ mm}$,$4.3 \text{ cm}$,$0.043 \text{ m}$,$43 \text{ mm}$,"Step 1: Identify the precision of each measurement by examining the place value of the last significant digit. Step 2: Convert all measurements to the same unit ($\text{mm}$) for comparison: $42.73 \text{ mm}$, $43 \text{ mm}$ ($4.3 \text{ cm}$), $43 \text{ mm}$ ($0.043 \text{ m}$), and $43 \text{ mm}$. Step 3: Determine precision levels: $42.73 \text{ mm}$ is precise to $0.01 \text{ mm}$, $4.3 \text{ cm}$ is precise to $0.1 \text{ cm}$ ($1 \text{ mm}$), $0.043 \text{ m}$is precise to $0.001 \text{ m}$ ($1 \text{ mm}$), and $43 \text{ mm}$ is precise to $1 \text{ mm}$. Step 4: Compare precision: $42.73 \text{ mm}$ has the smallest unit of measurement ($0.01 \text{ mm}$), making it the most precise. The precision of a measurement is determined by the smallest unit or decimal place indicated, regardless of the units used. Distractor 1 misconception: Confusing Accuracy and Precision—choosing based on unit size rather than decimal precision. Distractor 2 misconception: Confusing Accuracy and Precision—selecting based on unit familiarity rather than measurement precision. Distractor 3 misconception: Over-reporting Precision—assuming whole numbers are more precise than decimal measurements."
ALG1-1.4-04,N.Q.3,A student uses a digital scale that displays mass to the nearest $0.01 \text{ g}$ to measure ingredients for a chemistry experiment. The scale shows $5.47 \text{ g}$for one ingredient and $12.3 \text{ g}$for another. What is the most appropriate way to report the total mass?,$17.8 \text{ g}$,$17.77 \text{ g}$,$17.7700000 \text{ g}$,$18 \text{ g}$,"Step 1: Add the measured masses: $5.47 \text{ g} + 12.3 \text{ g} = 17.77 \text{ g}$. Step 2: Identify the limiting precision: $12.3 \text{ g}$ is measured to the tenths place ($0.1 \text{ g}$), while $5.47 \text{ g}$ is measured to the hundredths place ($0.01 \text{ g}$). Step 3: Apply the rule for addition: when adding measurements, the result should be reported to the same decimal place as the measurement with the largest uncertainty. Step 4: Round the result to the tenths place: $17.77 \text{ g}$rounds to $17.8 \text{ g}$. The precision of a sum is limited by the least precise measurement in the calculation. Distractor 1 misconception: Over-reporting Precision—reporting the exact calculation result without considering measurement limitations. Distractor 2 misconception: Over-reporting Precision—displaying unnecessary decimal places from calculator output. Distractor 3 misconception: Intermediate Rounding Errors—rounding too aggressively, losing appropriate precision."
ALG1-1.4-05,N.Q.3,"A carpenter measures a board as $245.6 \text{ cm}$using a tape measure marked in millimeters. After cutting, they need to report the length for a customer invoice. How should this measurement be appropriately reported?",$245.6 \text{ cm}$ or $2.456 \text{ m}$,$245.60000000 \text{ cm}$,$246 \text{ cm}$,$2.46 \text{ m}$,"Step 1: Consider the precision of the measuring tool: a tape measure marked in millimeters can measure to the nearest $0.1 \text{ cm}$. Step 2: The original measurement of $245.6 \text{ cm}$appropriately reflects this precision level. Step 3: Evaluate reporting options: the measurement can be reported in the original units ($245.6 \text{ cm}$) or converted to meters ($2.456 \text{ m}$) while maintaining the same precision. Step 4: Both $245.6 \text{ cm}$and $2.456 \text{ m}$ represent the same level of precision and are appropriate for professional reporting. When converting units, maintain the same level of precision indicated by the measuring instrument's capabilities. Distractor 1 misconception: Over-reporting Precision—adding unnecessary decimal places that exceed the tool's capability. Distractor 2 misconception: Intermediate Rounding Errors—rounding to a less precise level than the measuring tool supports. Distractor 3 misconception: Intermediate Rounding Errors—rounding the converted measurement unnecessarily, losing precision."
ALG1-1.5-01,A.REI.3,Solve: $3x + 7 = x + 13$,$x = 3$,$x = 20$,$x = -3$,$x = 5$,"Step 1: Start with $3x + 7 = x + 13$. Step 2: Apply the Subtraction Property of Equality by subtracting $x$ from both sides: $3x + 7 - x = x + 13 - x$, which gives $2x + 7 = 13$. Step 3: Apply the Subtraction Property of Equality by subtracting $7$ from both sides: $2x + 7 - 7 = 13 - 7$, which gives $2x = 6$. Step 4: Apply the Division Property of Equality by dividing both sides by $2$: $x = 3$. Each step follows from the equality of numbers asserted at the previous step, yielding exactly one solution. Distractor 1 misconception: Inverse Operation Error—adding $x$ to both sides instead of subtracting: $3x + x + 7 = x + x + 13$, leading to $4x + 7 = 2x + 13$, then $2x = 6$, but miscalculating to get $x = 20$. Distractor 2 misconception: Sign error during isolation phase—incorrectly applying subtraction: $2x = 6$ becomes $x = -3$. Distractor 3 misconception: Calculation error in final division step—$2x = 6$ incorrectly calculated as $x = 5$."
ALG1-1.5-02,A.REI.1,Solve: $2(x - 3) = 2x - 6$,Infinitely many solutions,$x = 0$,No solution,$x = 3$,"Step 1: Start with $2(x - 3) = 2x - 6$. Step 2: Apply the Distributive Property on the left side: $2x - 6 = 2x - 6$. Step 3: Apply the Subtraction Property of Equality by subtracting $2x$ from both sides: $2x - 6 - 2x = 2x - 6 - 2x$, which gives $-6 = -6$. Step 4: Since $-6 = -6$ is always true regardless of the value of $x$, the original equation is an identity and has infinitely many solutions. When the variables eliminate completely and result in a true statement, every real number is a solution. Distractor 1 misconception: Identity Misinterpretation—misinterpreting the elimination of variables as meaning $x = 0$. Distractor 2 misconception: Identity Misinterpretation—incorrectly claiming no solution when the final statement is true. Distractor 3 misconception: Identity Misinterpretation—incorrectly solving for a specific value from the constants in the original equation."
ALG1-1.5-03,A.REI.3,Solve: $5x - 2 = 3x + 8$,$x = 5$,$x = 6$,$x = -5$,$x = 10$,"Step 1: Start with $5x - 2 = 3x + 8$. Step 2: Apply the Subtraction Property of Equality by subtracting $3x$ from both sides: $5x - 2 - 3x = 3x + 8 - 3x$, which gives $2x - 2 = 8$. Step 3: Apply the Addition Property of Equality by adding $2$ to both sides: $2x - 2 + 2 = 8 + 2$, which gives $2x = 10$. Step 4: Apply the Division Property of Equality by dividing both sides by $2$: $x = 5$. Each step follows from the equality of numbers asserted at the previous step, yielding exactly one solution. Distractor 1 misconception: Inverse Operation Error—adding $3x$ to both sides instead of subtracting: $5x + 3x - 2 = 3x + 3x + 8$, leading to $8x - 2 = 6x + 8$, then $2x = 10$, but miscalculating to get $x = 6$. Distractor 2 misconception: Sign error during isolation phase—correctly getting $2x = 10$ but applying a negative sign error: $x = -5$. Distractor 3 misconception: Calculation error in combining like terms—$2x = 10$ incorrectly calculated as $x = 10$."
ALG1-1.5-04,A.REI.1,Solve: $4x + 5 = 4x - 3$,No solution,Infinitely many solutions,$x = -2$,$x = 2$,"Step 1: Start with $4x + 5 = 4x - 3$. Step 2: Apply the Subtraction Property of Equality by subtracting $4x$ from both sides: $4x + 5 - 4x = 4x - 3 - 4x$, which gives $5 = -3$. Step 3: Since $5 = -3$ is always false regardless of the value of $x$, the original equation has no solution. When the variables eliminate completely and result in a false statement, there is no value of $x$that satisfies the equation. Distractor 1 misconception: False Statement Misinterpretation—incorrectly claiming infinitely many solutions when the final statement is false. Distractor 2 misconception: False Statement Misinterpretation—attempting to solve for $x$ using the constants: $5 + 3 = 8$, then $x = -2$. Distractor 3 misconception: False Statement Misinterpretation—attempting to solve for $x$ using the constants: $5 - 3 = 2$, then $x = 2$."
ALG1-1.5-05,A.REI.1,Solve: $3(x + 2) = 3x + 6$,Infinitely many solutions,$x = 0$,No solution,$x = -2$,"Step 1: Start with $3(x + 2) = 3x + 6$. Step 2: Apply the Distributive Property on the left side: $3x + 6 = 3x + 6$. Step 3: Apply the Subtraction Property of Equality by subtracting $3x$ from both sides: $3x + 6 - 3x = 3x + 6 - 3x$, which gives $6 = 6$. Step 4: Since $6 = 6$ is always true regardless of the value of $x$, the original equation is an identity and has infinitely many solutions. When the variables eliminate completely and result in a true statement, every real number satisfies the equation. Distractor 1 misconception: Identity Misinterpretation—misinterpreting the elimination of variables as meaning $x = 0$. Distractor 2 misconception: Identity Misinterpretation—incorrectly claiming no solution when the final statement is true. Distractor 3 misconception: Identity Misinterpretation—incorrectly solving for a specific value from the constants in the original equation: $x = -2$."
ALG1-1.6-01,A.REI.1,Solve for $x$: $3\lvert x - 2 \rvert + 4 = 19$,$x = 7 \text{ or } x = -3$,$x = 7 \text{ only}$,$x = 7 \text{ or } x = -\frac{17}{3}$,$x = 17 \text{ or } x = -13$,"Step 1: Isolate the absolute value expression by applying the equality of numbers. Subtract $4$ from both sides: $3\lvert x - 2 \rvert = 15$. Step 2: Divide both sides by $3$: $\lvert x - 2 \rvert = 5$. Step 3: Since the absolute value equals a positive number, split into two cases. Case 1: $x - 2 = 5$, so $x = 7$. Case 2: $x - 2 = -5$, so $x = -3$. Distractor 1 misconception ($x = 7 \text{ only}$): Results from single case error where student solves only the positive case and ignores the negative case. Distractor 2 misconception ($x = 7 \text{ or } x = -\frac{17}{3}$): Results from premature split/isolation error where student splits $3\lvert x - 2 \rvert + 4 = 19$ into $3(x - 2) + 4 = 19$ and $3(x - 2) + 4 = -19$ without isolating first. Distractor 3 misconception ($x = 17 \text{ or } x = -13$): Incomplete Division. Result of subtracting $4$ to get $15$, but failing to divide by $3$ before splitting."
ALG1-1.6-02,A.REI.3,Solve for $x$: $2\lvert 3x + 1 \rvert - 8 = -12$,No solution,$x = \frac{1}{3} \text{ or } x = -1$,$x = 3 \text{ or } x = -1$,$x = 3 \text{ or } x = -\frac{11}{3}$,"Step 1: Isolate the absolute value expression. Add $8$ to both sides: $2\lvert 3x + 1 \rvert = -4$. Step 2: Divide both sides by $2$: $\lvert 3x + 1 \rvert = -2$. Step 3: Recognize that absolute value expressions are always non-negative. Since $\lvert 3x + 1 \rvert = -2$ and $-2 < 0$, there is no solution. Distractor 1 misconception ($x = \frac{1}{3} \text{ or } x = -1$): Results from no solution recognition error where student ignores that absolute value cannot equal negative number and proceeds to solve $3x + 1 = -2$ and $3x + 1 = 2$. Distractor 2 misconception ($x = 3 \text{ or } x = -1$): Results from premature split error where student splits before isolating, solving $2(3x + 1) - 8 = -12$ and $2(3x + 1) - 8 = 12$. Distractor 3 misconception ($x = 3 \text{ or } x = -\frac{11}{3}$): Result of incorrectly adding $8$ to get $-20$, dropping the negative, and solving $\lvert 3x + 1 \rvert = 10$."
